"날짜","종가","시가","고가","저가","거래량","변동 %"
"2022- 03- 10","98.51","98.06","98.60","97.71","","0.55%"
"2022- 03- 09","97.97","99.12","99.12","97.85","","-1.10%"
"2022- 03- 08","99.06","99.24","99.32","98.71","","-0.23%"
"2022- 03- 07","99.29","98.51","99.42","98.51","","0.65%"
"2022- 03- 04","98.65","98.04","98.92","97.84","","0.88%"
"2022- 03- 03","97.79","97.47","97.95","97.43","","0.41%"
"2022- 03- 02","97.39","97.37","97.83","97.29","","-0.02%"
"2022- 03- 01","97.41","96.76","97.58","96.63","","0.73%"
"2022- 02- 28","96.71","96.54","97.42","96.54","","0.10%"
"2022- 02- 25","96.61","97.00","97.22","96.52","","-0.54%"
"2022- 02- 24","97.14","96.22","97.74","96.22","","0.98%"
"2022- 02- 23","96.19","96.04","96.24","95.85","","0.17%"
"2022- 02- 22","96.03","96.08","96.26","95.84","","-0.06%"
"2022- 02- 21","96.08","96.11","96.15","95.69","","0.04%"
"2022- 02- 18","96.04","95.83","96.17","95.73","","0.25%"
"2022- 02- 17","95.80","95.77","96.11","95.71","","0.10%"
"2022- 02- 16","95.70","96.01","96.06","95.68","","-0.30%"
"2022- 02- 15","95.99","96.24","96.29","95.96","","-0.40%"
"2022- 02- 14","96.37","96.03","96.43","95.91","","0.30%"
"2022- 02- 11","96.08","95.94","96.11","95.64","","0.55%"
"2022- 02- 10","95.55","95.57","96.00","95.17","","0.06%"
"2022- 02- 09","95.49","95.59","95.67","95.38","","-0.16%"
"2022- 02- 08","95.64","95.43","95.75","95.40","","0.26%"
"2022- 02- 07","95.40","95.48","95.63","95.35","","-0.09%"
"2022- 02- 04","95.49","95.31","95.70","95.14","","0.11%"
"2022- 02- 03","95.38","96.02","96.25","95.24","","-0.58%"
"2022- 02- 02","95.94","96.27","96.30","95.81","","-0.47%"
"2022- 02- 01","96.39","96.70","96.72","96.24","","-0.16%"
"2022- 01- 31","96.54","97.22","97.30","96.52","","-0.75%"
"2022- 01- 28","97.27","97.25","97.44","97.06","","0.02%"
"2022- 01- 27","97.25","96.54","97.29","96.53","","0.90%"
"2022- 01- 26","96.39","95.96","96.54","95.91","","0.46%"
"2022- 01- 25","95.95","95.93","96.27","95.90","","0.03%"
"2022- 01- 24","95.92","95.64","96.13","95.63","","0.29%"
"2022- 01- 21","95.64","95.81","95.84","95.50","","-0.10%"
"2022- 01- 20","95.74","95.59","95.86","95.42","","0.24%"
"2022- 01- 19","95.51","95.77","95.79","95.49","","-0.23%"
"2022- 01- 18","95.73","95.22","95.83","95.13","","0.50%"
"2022- 01- 17","95.26","95.17","95.35","95.04","","0.10%"
"2022- 01- 14","95.17","94.87","95.27","94.63","","0.40%"
"2022- 01- 13","94.79","94.99","95.02","94.66","","-0.13%"
"2022- 01- 12","94.92","95.58","95.69","94.91","","-0.74%"
"2022- 01- 11","95.62","95.93","96.07","95.58","","-0.38%"
"2022- 01- 10","95.99","95.74","96.23","95.74","","0.28%"
"2022- 01- 07","95.72","96.26","96.29","95.71","","-0.62%"
"2022- 01- 06","96.32","96.20","96.39","96.04","","0.15%"
"2022- 01- 05","96.17","96.31","96.33","95.89","","-0.09%"
"2022- 01- 04","96.26","96.19","96.46","96.03","","0.05%"
"2022- 01- 03","96.21","95.67","96.33","95.63","","0.26%"
"2021- 12- 31","95.97","95.99","96.11","95.57","","0.00%"
"2021- 12- 30","95.97","95.89","96.22","95.86","","0.04%"
"2021- 12- 29","95.93","96.15","96.39","95.76","","-0.28%"
"2021- 12- 28","96.20","96.07","96.28","96.00","","0.11%"
"2021- 12- 27","96.09","96.15","96.26","96.05","","0.08%"
"2021- 12- 23","96.02","96.03","96.28","95.99","","-0.06%"
"2021- 12- 22","96.08","96.47","96.60","96.02","","-0.43%"
"2021- 12- 21","96.49","96.54","96.64","96.34","","-0.06%"
"2021- 12- 20","96.55","96.67","96.69","96.33","","-0.01%"
"2021- 12- 17","96.57","96.00","96.69","95.88","","0.54%"
"2021- 12- 16","96.04","96.43","96.45","95.85","","-0.49%"
"2021- 12- 15","96.51","96.55","96.91","96.30","","-0.06%"
"2021- 12- 14","96.57","96.35","96.59","96.10","","0.26%"
"2021- 12- 13","96.32","96.05","96.44","96.05","","0.23%"
"2021- 12- 10","96.10","96.21","96.43","95.98","","-0.18%"
"2021- 12- 09","96.27","95.96","96.34","95.96","","0.39%"
"2021- 12- 08","95.89","96.26","96.38","95.85","","-0.49%"
"2021- 12- 07","96.37","96.30","96.59","96.17","","0.04%"
"2021- 12- 06","96.33","96.15","96.43","96.13","","0.22%"
"2021- 12- 03","96.12","96.12","96.45","95.97","","-0.04%"
"2021- 12- 02","96.16","96.07","96.18","95.83","","0.13%"
"2021- 12- 01","96.03","95.94","96.14","95.67","","0.04%"
"2021- 11- 30","95.99","96.22","96.64","95.52","","-0.36%"
"2021- 11- 29","96.34","96.07","96.44","96.07","","0.26%"
"2021- 11- 26","96.09","96.72","96.77","95.75","","-0.71%"
"2021- 11- 25","96.77","96.81","96.82","96.65","","-0.10%"
"2021- 11- 24","96.88","96.53","96.94","96.43","","0.40%"
"2021- 11- 23","96.49","96.46","96.61","96.31","","-0.06%"
"2021- 11- 22","96.55","96.07","96.55","96.04","","0.54%"
"2021- 11- 19","96.03","95.58","96.24","95.58","","0.51%"
"2021- 11- 18","95.54","95.80","95.84","95.52","","-0.30%"
"2021- 11- 17","95.83","95.94","96.24","95.73","","-0.09%"
"2021- 11- 16","95.92","95.47","95.98","95.40","","0.53%"
"2021- 11- 15","95.41","95.12","95.60","94.97","","0.29%"
"2021- 11- 12","95.13","95.18","95.26","95.00","","-0.05%"
"2021- 11- 11","95.18","94.84","95.20","94.84","","0.35%"
"2021- 11- 10","94.85","93.98","94.90","93.97","","0.95%"
"2021- 11- 09","93.96","94.09","94.15","93.88","","-0.10%"
"2021- 11- 08","94.05","94.25","94.38","93.99","","-0.29%"
"2021- 11- 05","94.32","94.34","94.62","94.19","","-0.03%"
"2021- 11- 04","94.35","93.86","94.47","93.82","","0.51%"
"2021- 11- 03","93.86","94.12","94.21","93.82","","-0.24%"
"2021- 11- 02","94.09","93.93","94.13","93.82","","0.22%"
"2021- 11- 01","93.88","94.13","94.31","93.86","","-0.26%"
"2021- 10- 29","94.12","93.36","94.30","93.32","","0.83%"
"2021- 10- 28","93.35","93.88","93.97","93.28","","-0.49%"
"2021- 10- 27","93.80","93.97","94.01","93.69","","-0.16%"
"2021- 10- 26","93.95","93.84","94.02","93.71","","0.14%"
"2021- 10- 25","93.81","93.66","93.96","93.48","","0.18%"
"2021- 10- 22","93.64","93.75","93.79","93.54","","-0.14%"
"2021- 10- 21","93.77","93.58","93.79","93.50","","0.23%"
"2021- 10- 20","93.56","93.81","93.88","93.54","","-0.19%"
"2021- 10- 19","93.73","93.95","93.95","93.50","","-0.23%"
"2021- 10- 18","93.95","93.95","94.17","93.87","","0.02%"
"2021- 10- 15","93.94","94.03","94.07","93.85","","-0.02%"
"2021- 10- 14","93.96","94.02","94.09","93.76","","-0.13%"
"2021- 10- 13","94.08","94.52","94.53","94.00","","-0.46%"
"2021- 10- 12","94.52","94.37","94.56","94.23","","0.21%"
"2021- 10- 11","94.32","94.10","94.40","94.03","","0.26%"
"2021- 10- 08","94.07","94.21","94.34","93.94","","-0.16%"
